date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:14:02	19350/19350	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2004:12:57%20GMT	https://alhudabogor.org/donasi/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/donasi/index.html	(from https://alhudabogor.org/)
11:14:03	12232/12232	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2004:12:57%20GMT	https://alhudabogor.org/site/theme/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/index.html	(from https://alhudabogor.org/)
11:14:03	113690/113690	---M--	200	added ('OK')	image/jpeg	etag:%221bc1a-540b1f2c5ed80%22	https://alhudabogor.org/site/assets/files/1474/slider_masjid_gratis.940x400.jpg	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/assets/files/1474/slider_masjid_gratis.940x400.jpg	(from https://alhudabogor.org/)
11:14:04	16535/16535	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2004:13:01%20GMT	https://alhudabogor.org/kegiatan/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/kegiatan/index.html	(from https://alhudabogor.org/)
11:14:05	93327/93327	---M--	200	added ('OK')	image/jpeg	etag:%2216c8f-5462d8147eb00%22	https://alhudabogor.org/site/assets/files/1524/slider_sumur_gratis.940x400.jpg	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/assets/files/1524/slider_sumur_gratis.940x400.jpg	(from https://alhudabogor.org/)
11:14:05	17158/17158	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2004:13:01%20GMT	https://alhudabogor.org/galeri/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/galeri/index.html	(from https://alhudabogor.org/)
11:14:05	6294/6294	---M--	200	added ('OK')	image/png	etag:%221896-5145a2857ad00%22	https://alhudabogor.org/site/theme/img/slider-overlay-bottom.png	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/theme/img/slider-overlay-bottom.png	(from https://alhudabogor.org/)
11:14:06	16963/16963	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2004:13:01%20GMT	https://alhudabogor.org/blog/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/blog/index.html	(from https://alhudabogor.org/)
11:14:07	33395/33395	---M--	200	added ('OK')	image/png	etag:%228273-514530927d600%22	https://alhudabogor.org/site/assets/files/1284/member_area.480x0.png	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/site/assets/files/1284/member_area.480x0.png	(from https://alhudabogor.org/)
11:14:08	16858/16858	---M-Z	200	added ('OK')	text/html	date:Sun,%2022%20Dec%202019%2004:13:02%20GMT	https://alhudabogor.org/video/	C:/My%20Web%20Sites/website%20al%20huda/alhudabogor.org/video/index.html	(from https://alhudabogor.org/)
